Date,Location
01/19/2015(37.7617007179518, -122.42158168137)
02/01/2015(37.7841907151119, -122.414406029855)
02/01/2015(37.7841907151119, -122.414406029855)
02/01/2015(37.7841907151119, -122.414406029855)
01/27/2015(37.8004687042875, -122.431118543788)
02/01/2015(37.7870853907529, -122.451781767894)
01/31/2015(37.729203356539, -122.374019331833)
01/31/2015(37.729203356539, -122.374019331833)
01/31/2015(37.7878092959561, -122.40656817787)
01/31/2015(37.7862578545865, -122.417295322526)
02/01/2015(37.7690748003847, -122.413354187018)
02/01/2015(37.7690748003847, -122.413354187018)
02/01/2015(37.7690748003847, -122.413354187018)
02/01/2015(37.7690748003847, -122.413354187018)
02/01/2015(37.7651107322703, -122.432198022433)
02/01/2015(37.7817528767881, -122.42227702764)
02/01/2015(37.7817528767881, -122.42227702764)
02/01/2015(37.7422600519555, -122.387939452192)
02/01/2015(37.7671999403456, -122.458638758608)
02/01/2015(37.735226586208, -122.389774683064)
02/01/2015(37.7969028838908, -122.406831986427)
02/01/2015(37.7969028838908, -122.406831986427)
11/11/2016(37.75152495730467, -122.40525176586286)
02/01/2015(37.7969028838908, -122.406831986427)
02/01/2015(37.7969028838908, -122.406831986427)
02/01/2015(37.784696907904, -122.413609328985)
02/01/2015(37.784696907904, -122.413609328985)
02/01/2015(37.784696907904, -122.413609328985)
02/01/2015(37.7604929243617, -122.388559411328)
02/01/2015(37.778719262789, -122.414743835382)
02/01/2015(37.764228935718, -122.419520367886)
01/04/2014(37.7914943051906, -122.420874632415)
02/01/2015(37.764228935718, -122.419520367886)
02/01/2015(37.764228935718, -122.419520367886)
02/01/2015(37.7782510832412, -122.419884939457)
01/30/2015(37.7501301863303, -122.446483988175)
02/01/2015(37.7755650573942, -122.459589572197)
02/01/2015(37.7951450868486, -122.406478762416)
02/01/2015(37.7951450868486, -122.406478762416)
02/01/2015(37.7856087588303, -122.414850480524)
02/01/2015(37.7934059586373, -122.438049017392)
02/01/2015(37.7666737551835, -122.419827929961)
02/01/2015(37.7666737551835, -122.419827929961)
02/01/2015(37.7666737551835, -122.419827929961)
02/01/2015(37.7954789408472, -122.441095150389)
02/01/2015(37.7175299238695, -122.453055320632)
02/01/2015(37.7825967571249, -122.392304134983)
02/01/2015(37.7191834462785, -122.386437671186)
02/04/2015(37.775420706711, -122.403404791479)
01/31/2015(37.7969934198176, -122.40354422656)
02/01/2015(37.7685360123583, -122.41561633832)
02/01/2015(37.7873381901532, -122.423404604063)
02/01/2015(37.7873381901532, -122.423404604063)
02/01/2015(37.7873381901532, -122.423404604063)
02/01/2015(37.7875673013055, -122.406592269796)
02/01/2015(37.773130623238, -122.410919016011)
02/01/2015(37.778254811523, -122.405834032593)
01/05/2015(37.7915661006349, -122.409144009353)
01/05/2015(37.7915661006349, -122.409144009353)
02/01/2015(37.7841889075267, -122.410135236377)
02/01/2015(37.7905770710537, -122.420691680792)
02/01/2015(37.7905770710537, -122.420691680792)
02/01/2015(37.7905770710537, -122.420691680792)
02/01/2015(37.7724556440219, -122.416305723264)
01/31/2015(37.7288459128524, -122.423207985156)
02/01/2015(37.7627511939927, -122.47391580547)
02/01/2015(37.777023633257, -122.455125552189)
02/01/2015(37.7644036412279, -122.500828300284)
01/28/2015(37.7645433165084, -122.49761402653)
01/31/2015(37.7709130566165, -122.410541166987)
02/01/2015(37.7701099298175, -122.420010175609)
02/01/2015(37.7701099298175, -122.420010175609)
01/29/2015(37.7650501214668, -122.419671780296)
02/01/2015(37.7260849566228, -122.409528258798)
02/01/2015(37.7260849566228, -122.409528258798)
01/30/2015(37.7790877048755, -122.464147081977)
02/01/2015(37.7858706272526, -122.431309540727)
